,Care Home Name,street,suburb,city,PostCode,Specialisms,Local authority area,phone Number,email,Website URL
0,112-114 Carlton Road,Small Heath,Not Specified,Birmingham,B9 5EA,Not Specified,Birmingham,0121 7733165,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/1
1,56-58 Carlton Road,56-58 Carlton Road,Small Heath,Birmingham,B9 5EB,Learning Disabilities,Birmingham,0121 7724078,ash786@btinternet.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/2
2,Abbey Rose Nursing Home,2 Ivyfield Road,Erdington,Birmingham,B23 7HH,Nursing,Birmingham,0121 3776707,AR.admin@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/3
3,Abele Care Limited (Trevella House),310 Court Oak Road,Harborne,Birmingham,B32 2EB,Learning Disabilities,Birmingham,0121 2405306,sharonannakie@abelecare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/4
4,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/5
5,Agnes House (Bham),11a-15 Arthur Road,Erdington,Birmingham,B24 9EX,Learning Disabilities,Birmingham,0121 3730058,agnes_house@hotmail.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/6
6,Andrew Cohen House (Birmingham Jewish Community Care),River Brook Drive,0,Birmingham,B30 2SH,Nursing,Birmingham,0121 4585000,erowe@bhamjcc.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/7
7,Arden Lodge Residential Care Home for Elder Adults,946 Warwick Road,Acocks Green,Birmingham,B27 6QG,Not Specified,Birmingham,0121 7067958,manager@lindale-homes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/8
8,Ashleigh Court Rest Home,20 Fountain Road,Edgbaston,Birmingham,B17 8NL,Mental Health,Birmingham,0121 4201118,ashleighcourtltd@outlook.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/9
9,Ashley Lodge Residential Home,1-3 Colmore Crescent,Moseley,Birmingham,B13 9SJ,Not Specified,Birmingham,0121 4491503,info@magnacaregroup.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/10
10,Asprey Court Care Home,Orphanage Road,Erdington,Birmingham,B24 0BE,Nursing,Birmingham,0121 2221387,shobha@restfulhomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/11
11,Austin Rose Care Home,90 Alvechurch Road,Not Specified,Birmingham,B31 3QW,Nursing,Birmingham,0121 4757871,AUR.admin@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/12
12,Beech House,21 Gravelly Hill North,Erdington,Birmingham,B23 6BT,Learning Disabilities,Birmingham,0121 3826163,KarenC@newoutlook.org.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/13
13,Boldmere Court Care Home,350 Gravelly Lane,0,Birmingham,B23 5SB,Nursing,Birmingham,0121 3530003,enquiries@boldmerecourt.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/14
14,Boldmere Drive,3 Boldmere Drive,Not Specified,Sutton Coldfield,B73 5ES,Learning Disabilities,Birmingham,0121 3861384,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/15
15,Bournview Care Home,Bourn View Care Home,47 Bristol Road South,Birmingham,B31 2FR,Mental Health,Birmingham,0121 5163500,lianne.sturmey@averyhealthcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/16
16,Bournville Grange Limited,168 Oak Tree Lane,Bournville,Birmingham,B30 1TX,Not Specified,Birmingham,0121 4722213,info@bournevillegrange.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/17
17,Bretby House,253 Boldmere Road,Not Specified,Sutton Coldfield,B73 5LL,Mental Health,Birmingham,0121 3736562,z.velji@carefirstclassuk.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/18
18,Bryony House,30 Bryony Road,Not Specified,Birmingham,B29 4BX,Not Specified,Birmingham,0121 4752965,bryonyhouse@googlemail.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/19
19,Caring Thoughts For Future Steps,14 Leopold Avenue,Hampstead,Birmingham,B20 1ER,Supported Living,Birmingham,0121 293 4920,info@caringthoughts.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/20
20,Cherry Lodge,6 Manningford Road,Druids Heath,Birmingham,B14 5LD,Not Specified,Birmingham,0121 4305986,t.spencer@carefirstclassuk.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/21
21,Church Rose Nursing Home,8 Payton Road,Handsworth,Birmingham,B21 0HP,Nursing,Birmingham,0121 5546413,CR.manager@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/22
22,Clifton House,165 Clifton Road,Not Specified,Birmingham,B12 8SL,Not Specified,Birmingham,0121 4402089,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/23
23,Cole Bank Road,16 Cole Bank Road,Hall Green,Birmingham,B28 8EX,Learning Disabilities,Birmingham,0121 7778007,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/24
24,Cole Valley Nursing Home,326 Haunch Lane,Kings Heath,Birmingham,B13 0PN,Nursing,Birmingham,0121 4448887,colevalleymanager@mrphillips.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/25
25,Edenwood,14 Rotton Park Road,Edgbaston,Birmingham,B16 9JJ,Learning Disabilities,Birmingham,0121 4282455,JulieM@newoutlook.org.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/26
26,Elliott House,81 Walkers Heath Road,Not Specified,Birmingham,B38 0AN,Not Specified,Birmingham,0121 6052608,ehmanager@lindale-homes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/27
27,Field House Residential Home,110 Harborne Park Road,Not Specified,Birmingham,B17 0BS,Not Specified,Birmingham,0121 4263157,fhcareltd@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/28
28,Gables Residential Home The,29-31 Ashurst Road,Walmley,Sutton Coldfield,B76 1JE,Not Specified,Birmingham,0121 3516614,sarj@acttus.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/29
29,Greville House Care Home,40 Streetly Lane,Not Specified,Sutton Coldfield,B74 4TU,Not Specified,Birmingham,0121 3088304,greville@kpsk.care,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/30
30,Harborne Lane Specialist Care Centre Ltd,247 Harborne Lane,Selly Oak,Birmingham,B29 6TG,Nursing,Birmingham,0121 2581445,managerhlscc@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/31
31,Highbury Nursing Home,199-203 Alcester Road,Moseley,Birmingham,B13 8PX,Nursing,Birmingham,0121 4424885,highburynursinghome@yahoo.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/32
32,Highcroft House,7 Crown Lane,Crown Lane,Four Oaks,B74 4SU,Learning Disabilities,Birmingham,0121 3539392,Highcrofthouse@dignushealthcare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/33
33,Holly House,61 Westley Road,Not Specified,Birmingham,B27 7UQ,Not Specified,Birmingham,0121 7078665,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/34
34,Hurstway Care Home,142 The Hurstway,Erdington,Birmingham,B23 5XN,Nursing,Birmingham,0121 3500191,hurstwayhomeenquiries@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/35
35,Lime Court,19-31 Jaffray Crescent,Erdington,Birmingham,B24 8BG,Nursing,Birmingham,0121 3821383,Limecourt@jaffraycare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/36
36,Marian House,803 Chester Road,Erdington,Birmingham,B24 0BX,Learning Disability,Birmingham,0121 2415217,marianhouse803@yahoo.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/37
37,Meadow Rose Nursing Home,96 The Roundabout,Not Specified,Birmingham,B31 2TX,Nursing,Birmingham,0121 4769808,mr.manager@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/38
38,Oakview Care Home,14-20 Overfield Road,Bartley Green,Birmingham,B32 3BA,Nursing,Birmingham,0121 4286800,jag@oakviewcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/39
39,Orchard House Nursing Home (Bham),126 Whitehouse Common Road,0,Sutton Coldfield,B75 6DS,Nursing,Birmingham,0121 3780272,marie.lake4@nhs.net,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/40
40,Priestley Rose Nursing Home,114 Bromford Lane,Erdington,Birmingham,B24 8BZ,Nursing,Birmingham,0121 3730134,PR.admin@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/41
41,Primrose Place,34 Somerset Road,Handsworth,Birmingham,B20 2JD,Learning Disabilities,Birmingham,0121 554 0440,naval.chawla@nuvohealthcare.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/42
42,Rivendell & Lorien,57 and 59 Marsh Lane,Erdington,Birmingham,B23 6HX,Not Specified,Birmingham,0121 3772800,tayla.allen@jaffraycare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/43
43,Sellywood House,116 Sellywood Road,Bournville,Birmingham,B30 1TJ,Nursing,Birmingham,0121 472 3721,compliance@surecare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/44
44,Serenity Consultancy (UK) Ltd,767 The Big Peg 120 Vyse Street,Not Specified,Birmingham,B18 6NF,Supported Living,Birmingham,07929 842017,usafg@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/45
45,Sherbourne Grange,18-20 Sherbourne Road,Acocks Green,Birmingham,B27 6AE,Learning Disabilities,Birmingham,0121 7064411,info@ferndalecare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/46
46,Silver Birch,39 Silver Birch Road,Erdington,Birmingham,B24 0AR,Not Specified,Birmingham,1212502067,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/47
47,Silver Birch Care Home,31-33 Silver Birch Road,Erdington,Birmingham,B24 0AR,Learning Disabilities,Birmingham,0121 3824505,joannehinde.silverbirch@outlook.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/48
48,Southside Care,1653 Stratford Road,Hall Green,Birmingham,B28 9JB,Not Specified,Birmingham,0121 7448811,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/49
49,Sparrowfields,17-19 Alwold Road,Weoley Castle,Birmingham,B29 5RR,Learning Disabilities,Birmingham,0121 4282848,sparrowfields@shaw.co.uk,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/50
50,St Catherines Residential Home (Kathline),326-328 Boldmere Road,Boldmere,Sutton Coldfield,B73 5EU,Not Specified,Birmingham,0121 3778178,saintcat.care@live.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/51
51,Sutton Rose Care Home,St. Michaels Road,Boldmere,Sutton Coldfield,B73 5FU,Not Specified,Birmingham,0121 7167117,info@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/52
52,Tudor Gardens,27-29 Tudor Gardens,Erdington,Birmingham,B23 6FD,Not Specified,Birmingham,0121 3863073,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/birmingham/dp/53
